batter,season_hr_rate,recent_hr_rate,avg_exit_velocity,hard_hit_rate,barrel_rate,avg_launch_angle,pitcher_hr_rate,expected_plate_appearances
678391,0.013100436681222707,0.0,78.48770764119601,0.15282392026578073,0.023255813953488372,17.003322259136212,0.020833333333333332,3.7
678489,0.012048192771084338,0.0,78.02417582417583,0.2087912087912088,0.01098901098901099,19.252747252747252,0.020833333333333332,1.7
678545,0.04081632653061224,0.02631578947368421,83.14758064516128,0.25806451612903225,0.04838709677419355,16.733870967741936,0.020833333333333332,3.8
678554,0.05263157894736842,0.04878048780487805,88.0,0.0,0.0,12.0,0.020833333333333332,4.1
678577,0.05714285714285714,0.043478260869565216,83.87027027027028,0.2972972972972973,0.05405405405405406,29.45945945945946,0.020833333333333332,2.3
678662,0.028481012658227847,0.03225806451612903,79.99085106382978,0.1829787234042553,0.027659574468085105,24.659574468085108,0.020833333333333332,3.1
678760,0.0,0.0,80.96666666666667,0.05555555555555555,0.05555555555555555,39.22222222222222,0.020833333333333332,2.5
678882,0.033632286995515695,0.0,80.09823529411764,0.17794117647058824,0.025,18.123529411764707,0.020833333333333332,4.5
679529,0.03571428571428571,0.0,83.45804347826086,0.24565217391304348,0.05217391304347826,20.8,0.020833333333333332,3.2
679822,0.05,0.09090909090909091,83.28961538461539,0.25384615384615383,0.057692307692307696,24.96153846153846,0.020833333333333332,3.3
679845,0.018867924528301886,0.023809523809523808,81.20343915343915,0.18783068783068782,0.023809523809523808,13.436507936507937,0.020833333333333332,4.2
680474,0.023809523809523808,0.0,80.73960396039604,0.2376237623762376,0.04950495049504951,23.663366336633665,0.020833333333333332,2.9
680574,0.03873239436619718,0.023809523809523808,80.39692307692307,0.2276923076923077,0.055384615384615386,25.00923076923077,0.020833333333333332,4.2
680664,0.07692307692307693,0.03125,82.97196261682242,0.27102803738317754,0.09345794392523364,14.392523364485982,0.020833333333333332,3.2
680700,0.014760147601476014,0.0,80.28943089430894,0.1951219512195122,0.016260162601626018,15.913279132791327,0.020833333333333332,3.6
680716,0.0,0.0,77.46428571428571,0.21428571428571427,0.0,11.107142857142858,0.020833333333333332,2.5
680718,0.0,0.0,0.0,0.0,0.0,0.0,0.020833333333333332,4.0
680728,0.01639344262295082,0.029411764705882353,82.65302013422819,0.2080536912751678,0.03355704697986577,21.241610738255034,0.020833333333333332,3.4
680737,0.03225806451612903,0.03225806451612903,77.07674418604651,0.06976744186046512,0.0,19.790697674418606,0.020833333333333332,3.1
680757,0.002583979328165375,0.0,79.43636363636364,0.05858585858585859,0.00202020202020202,18.97979797979798,0.020833333333333332,4.9
680776,0.03818615751789976,0.06060606060606061,82.40875000000001,0.25625,0.05,18.158333333333335,0.020833333333333332,3.3
680777,0.041884816753926704,0.05405405405405406,82.40961538461538,0.26153846153846155,0.05,18.153846153846153,0.020833333333333332,3.7
680779,0.03314917127071823,0.0,83.49030837004405,0.3039647577092511,0.04405286343612335,24.647577092511014,0.020833333333333332,2.7
680869,0.04152249134948097,0.0,82.40707964601769,0.25958702064896755,0.04424778761061947,20.44542772861357,0.020833333333333332,4.3
680977,0.0,0.0,81.41692307692308,0.19230769230769232,0.007692307692307693,20.99230769230769,0.020833333333333332,4.4
681047,0.0,0.0,83.615,0.3,0.075,12.0,0.020833333333333332,3.0
681082,0.019417475728155338,0.02702702702702703,83.46375227686704,0.22950819672131148,0.03278688524590164,21.45537340619308,0.020833333333333332,3.7
681146,0.0,0.0,96.53333333333335,0.3333333333333333,0.0,12.666666666666666,0.020833333333333332,4.0
681190,0.0,0.0,0.0,0.0,0.0,0.0,0.020833333333333332,4.0
681198,0.022332506203473945,0.0,80.06107142857142,0.15535714285714286,0.014285714285714285,20.84107142857143,0.020833333333333332,4.2
681230,0.0,0.0,0.0,0.0,0.0,0.0,0.020833333333333332,4.0
681297,0.04924242424242424,0.05555555555555555,81.6190625,0.221875,0.053125,18.25625,0.020833333333333332,3.6
681351,0.01744186046511628,0.0,83.80594059405942,0.25742574257425743,0.054455445544554455,15.806930693069306,0.020833333333333332,2.5
681393,0.016129032258064516,0.04878048780487805,81.41939655172413,0.20689655172413793,0.021551724137931036,21.732758620689655,0.020833333333333332,4.1
681481,0.0472972972972973,0.0,83.17570093457944,0.2523364485981308,0.037383177570093455,21.710280373831775,0.020833333333333332,3.1
681508,0.037267080745341616,0.12121212121212122,84.79371727748692,0.3089005235602094,0.05759162303664921,13.167539267015707,0.020833333333333332,3.3
681546,0.03597122302158273,0.08,80.33888888888889,0.22916666666666666,0.041666666666666664,18.020833333333332,0.020833333333333332,2.5
681624,0.03864734299516908,0.045454545454545456,88.0,0.0,0.0,12.0,0.020833333333333332,4.4
681715,0.06853582554517133,0.09090909090909091,85.02307692307691,0.29945054945054944,0.08516483516483517,16.057692307692307,0.020833333333333332,4.4
681807,0.032520325203252036,0.0,81.41118421052632,0.19736842105263158,0.02631578947368421,20.50657894736842,0.020833333333333332,2.2
681909,0.0,0.0,76.31666666666668,0.041666666666666664,0.0,35.25,0.020833333333333332,1.125
681987,0.027777777777777776,0.030303030303030304,83.97045454545454,0.2727272727272727,0.045454545454545456,7.2272727272727275,0.020833333333333332,3.3
682177,0.01098901098901099,0.0,81.5117903930131,0.20087336244541484,0.03056768558951965,17.16593886462882,0.020833333333333332,3.5
682515,0.0,0.0,79.9,0.0,0.0,12.0,0.020833333333333332,3.0
682622,0.03592814371257485,0.0,82.71836734693878,0.20408163265306123,0.03571428571428571,15.362244897959183,0.020833333333333332,3.3
